"taxon"
"Corymbia candida subsp. dispodes"
"Heteropyxis natalensis"
"Eucalyptus dorotoxylon"
"Eucalyptus carnabyi"
"Eucalyptus impensa"
"Eucalyptus drummondii subsp. drummondii"
"Eucalyptus caesia subsp. caesia"
"Eucalyptus lanepoolei"
"Eucalyptus uncinata subsp. uncinata"
"Eucalyptus minigwalica"
"Eucalyptus argyphea"
"Eucalyptus balanites"
"Eucalyptus decipiens subsp. decipens"
"Eucalyptus communalis"
"Eucalyptus balanopelex"
"Eucalyptus medialis"
"Eucalyptus arachnae"
"Eucalyptus lehmanii subsp. lehmanii"
"Eucalyptus brachyphylla"
"Eucalyptus trivalvis"
"Eucalyptus platycorys subsp. platycorys"
"Eucalyptus comitae vallis"
"Eucalyptus brachycorys"
"Eucalyptus nerthicola"
"Eucalyptus clelandii"
"Eucalyptus persistens subsp. tardecidens"
"Eucalyptus deglupta"
"Eucalyptus apodophylla subsp. provecta"
"Eucalyptus nanderwairca"
"Eucalyptus gregoriensis"
"Eucalyptus brunnea"
"Eucalyptus disclusa"
"Eucalyptus splendens subsp. splendens"
"Eucalyptus brookeriana subsp. brookeriana"
"Eucalyptus ovata var ovata"
"Eucalyptus approximans subsp. codonocarpa"
"Eucalyptus piperita subsp. piperita"
"Eucalyptus andrewsii subsp. andrewsii"
"Eucalyptus ralla"
"Eucalyptus oblonga"
"Eucalyptus lateritica"
"Eucalyptus eudesmioides subsp. eudesmioides"
"Corymbia novaguineesis"
"Corymbia ligans subsp. ligans"
"Angophora exul"
