Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Corymbia bunites,APC,Corymbia bunites (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia bunites,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,bunites,,bunites,,,,
TRUE,Corymbia petalophylla,APC,Corymbia petalophylla (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia petalophylla,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,petalophylla,,petalophylla,,,,
TRUE,Corymbia scabrida,APC,Corymbia scabrida (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia scabrida,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,scabrida,,scabrida,,,,
TRUE,Corymbia catenaria,,Corymbia catenaria K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia catenaria,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,catenaria,,catenaria,,,,
TRUE,Corymbia watsoniana subsp. watsoniana,APC,Corymbia watsoniana (F.Muell.) K.D.Hill & L.A.S.Johnson subsp. watsoniana,legitimate,autonym,[],Corymbia watsoniana subsp. watsoniana,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Corymbia,watsoniana,watsoniana,watsoniana,,,,
TRUE,Corymbia dimorpha,,Corymbia dimorpha (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia dimorpha,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,dimorpha,,dimorpha,,,,
TRUE,Corymbia bloxsomei,APC,Corymbia bloxsomei (Maiden) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia bloxsomei,(Maiden) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,bloxsomei,,bloxsomei,,,,
TRUE,Corymbia leichhardtii,APC,Corymbia leichhardtii (F.M.Bailey) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia leichhardtii,(F.M.Bailey) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,leichhardtii,,leichhardtii,,,,
TRUE,Corymbia aureola,APC,Corymbia aureola (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia aureola,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,aureola,,aureola,,,,
TRUE,Corymbia leptoloma,APC,Corymbia leptoloma (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia leptoloma,(Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,leptoloma,,leptoloma,,,,
TRUE,Corymbia peltata,APC,Corymbia peltata (Benth.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia peltata,(Benth.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,peltata,,peltata,,,,
TRUE,Corymbia tessellaris,APC,Corymbia tessellaris (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia tessellaris,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,tessellaris,,tessellaris,,,,
TRUE,Corymbia torelliana,APC,Corymbia torelliana (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia torelliana,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,torelliana,,torelliana,,,,
TRUE,Corymbia grandifolia,APC,Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia grandifolia,(R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,grandifolia,,grandifolia,,,,
TRUE,Corymbia polysciada,APC,Corymbia polysciada (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia polysciada,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,polysciada,,polysciada,,,,
TRUE,Corymbia arafurica,APC,Corymbia arafurica K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia arafurica,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,arafurica,,arafurica,,,,
TRUE,Corymbia bella,APC,Corymbia bella K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia bella,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,bella,,bella,,,,
TRUE,Corymbia dendromerinx,APC,Corymbia dendromerinx K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia dendromerinx,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,dendromerinx,,dendromerinx,,,,
TRUE,Corymbia pauciseta,APC,Corymbia pauciseta K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia pauciseta,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,pauciseta,,pauciseta,,,,
TRUE,Corymbia blakei,APC,Corymbia blakei K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia blakei,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,blakei,,blakei,,,,
TRUE,Corymbia hylandii,APC,Corymbia hylandii (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia hylandii,(D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,hylandii,,hylandii,,,,
FALSE,Corymbia candida subsp. dispodes,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Corymbia flavescens,APC,Corymbia flavescens K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia flavescens,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,flavescens,,flavescens,,,,
TRUE,Corymbia ferriticola,APC,Corymbia ferriticola (Brooker & Edgecombe) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia ferriticola,(Brooker & Edgecombe) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,ferriticola,,ferriticola,,,,
